username,password
10001,44-4506057-3
10002,52-2061274-9
10003,30-8870406-2
10004,40-2511815-0
10005,50-5577638-1
10006,49-1632020-8
10007,40-2400714-1
10008,55-4476527-2
10009,41-0644692-3
10010,64-7605054-4
10011,26-9647608-3
10012,44-8563448-3
10013,45-5656375-0
10014,27-2090996-4
10015,26-8768374-1
10016,49-2959312-6
10017,27-2090208-8
10018,45-3251383-0
10019,49-1629900-2
10020,49-1647342-5
10021,45-5617168-2
10022,52-0109570-6
10023,52-9883524-3
10024,45-5866331-6
10025,47-1692793-0
10026,40-9504657-8
10027,45-3298166-4
10028,40-2400719-4
10029,60-1152206-4
10030,54-1331005-0
10031,52-1859253-1
10032,26-7145133-4
10033,11-5062972-7
10034,20-2987501-5
10035,idolkosisire456
10036,tangochelsea
admin,motorph1
superuser,motorph2
tester,quality
