EmployeeID,LastName,FirstName,SSS,PhilHealth,TIN,PagIbig,DOB,Department,HourlyRate
10001,Garcia,Manuel III,44-4506057-3,820126853951,442-605-657-000,691295330870,1983-10-11,CEO,535.71
10002,Smith,Jane,44-4506057-4,820126853952,442-605-657-001,691295330871,1985-02-15,Manager,450.00
10003,Reyes,Jose,44-4506057-5,820126853953,442-605-657-002,691295330872,1990-05-20,Supervisor,400.00
10004,Dela Cruz,Maria,44-4506057-6,820126853954,442-605-657-003,691295330873,1992-11-30,Assistant,350.50
10005,Lopez,Chris,44-4506057-7,820126853955,442-605-657-004,691295330874,1988-07-25,Staff,300.00
10006,Santos,Mark,44-4506057-8,820126853956,442-605-657-005,691295330875,1979-03-12,Director,600.00
10007,Tan,Angela,44-4506057-9,820126853957,442-605-657-006,691295330876,1991-08-21,Coordinator,320.00
10008,Cruz,Peter,44-4506057-10,820126853958,442-605-657-007,691295330877,1980-12-05,Analyst,410.00
10009,Santos,Anna,44-4506057-11,820126853959,442-605-657-008,691295330878,1987-04-18,Assistant Manager,480.00
10010,Flores,Roberto,44-4506057-12,820126853960,442-605-657-009,691295330879,1982-11-03,Clerk,290.00
10011,Rodriguez,Samuel,44-4506057-13,820126853961,442-605-657-010,691295330880,1984-09-10,Engineer,520.00
10012,Gomez,Linda,44-4506057-14,820126853962,442-605-657-011,691295330881,1993-07-12,HR,380.00
10013,Martinez,Antonio,44-4506057-15,820126853963,442-605-657-012,691295330882,1978-01-20,Technician,310.00
10014,Lopez,Sara,44-4506057-16,820126853964,442-605-657-013,691295330883,1989-05-30,Receptionist,270.00
10015,Navarro,David,44-4506057-17,820126853965,442-605-657-014,691295330884,1986-03-17,Sales,340.00
10016,Castillo,Rebecca,44-4506057-18,820126853966,442-605-657-015,691295330885,1990-12-22,Marketing,370.00
10017,Romero,Edward,44-4506057-19,820126853967,442-605-657-016,691295330886,1977-08-08,Security,310.00
10018,Vargas,Teresa,44-4506057-20,820126853968,442-605-657-017,691295330887,1981-06-14,Analyst,420.00
10019,Perez,Robert,44-4506057-21,820126853969,442-605-657-018,691295330888,1984-11-11,Consultant,500.00
10020,Delgado,Patricia,44-4506057-22,820126853970,442-605-657-019,691295330889,1987-10-29,Director,610.00
10021,Morales,Anthony,44-4506057-23,820126853971,442-605-657-020,691295330890,1979-04-04,Manager,450.00
10022,Jimenez,Stephanie,44-4506057-24,820126853972,442-605-657-021,691295330891,1992-08-15,Coordinator,350.00
10023,Ortiz,Victor,44-4506057-25,820126853973,442-605-657-022,691295330892,1980-05-05,Supervisor,410.00
10024,Serrano,Emily,44-4506057-26,820126853974,442-605-657-023,691295330893,1983-02-19,Analyst,430.00
10025,Ramirez,Oscar,44-4506057-27,820126853975,442-605-657-024,691295330894,1985-12-01,Technician,320.00
10026,Castro,Laura,44-4506057-28,820126853976,442-605-657-025,691295330895,1990-07-07,HR,380.00
10027,Soto,Jorge,44-4506057-29,820126853977,442-605-657-026,691295330896,1978-09-09,Clerk,290.00
10028,Fernandez,Michelle,44-4506057-30,820126853978,442-605-657-027,691295330897,1989-11-11,Manager,460.00
10029,Ramos,Antonio,44-4506057-31,820126853979,442-605-657-028,691295330898,1982-03-03,Supervisor,400.00
10030,Mendez,Christina,44-4506057-32,820126853980,442-605-657-029,691295330899,1991-07-14,Assistant,330.00
10031,Pena,Elias,44-4506057-33,820126853981,442-605-657-030,691295330900,1984-08-05,Engineer,540.00
10032,Medina,Carla,44-4506057-34,820126853982,442-605-657-031,691295330901,1987-06-16,Sales,350.00
10033,Garcia,Leonardo,44-4506057-35,820126853983,442-605-657-032,691295330902,1990-10-10,Marketing,380.00
10034,Alvarez,Juan,44-4506057-36,820126853984,442-605-657-033,691295330903,1985-01-25,Director,610.00
